,Fecha,tipo de tienda,El microretailer has a barred window,Store devices,acepto la encuesta,cambio espacio tienda,cambio promedio salario,Registro inventario,registros ventas,id impuesto,canales ventas,metodo pago,relacion clientes,organizado productos,internet conexión,credito clientes,planificacion ventas,pedidos proveedores,empleados permanentes,empleados permanentes el año pasado
0,"November 12, 2022",tailor,yes,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Software especializado,Desconocido,2.0,2.0
1,"November 12, 2022",grocery store (aka. nanostore),no,dataphone (i.e. card payments),yes,Aumentó 15%,No cambió,No lo hago,No lo hago,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Aplicación móvil,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Desconocido,Desconocido,1.0,1.0
2,"November 12, 2022",grocery store (aka. nanostore),yes,dataphone (i.e. card payments),yes,No cambió,No cambió,En Excel,Software especializado + computadora,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Desconocido,Desconocido,2.0,2.0
3,"November 12, 2022",grocery store (aka. nanostore),no,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Teléfono,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Ninguna,Desconocido,1.0,1.0
4,"November 12, 2022",grocery store (aka. nanostore),yes,smartphone,yes,No cambió,No cambió,En papel,En papel,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Desconocido,Venta cruzada (e.g. cereal + leche),yes,yes,Desconocido,Desconocido,0.0,0.0
5,"November 12, 2022",cafeteria,no,dataphone (i.e. card payments),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,Desconocido,"Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Precio,yes,no,Desconocido,Desconocido,1.0,1.0
6,"November 12, 2022",technology store,yes,smartphone,yes,No cambió,No cambió,En Excel,No lo hago,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Redes sociales,Frecuencia de venta,yes,yes,Desconocido,Desconocido,2.0,2.0
7,"November 12, 2022",grocery store (aka. nanostore),yes,dataphone (i.e. card payments),yes,Aumentó 50% o más,No cambió,"En Excel,En papel",En papel,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Software especializado,Desconocido,0.0,0.0
8,"November 12, 2022",retailer store,yes,dataphone (i.e. card payments),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Desconocido,Desconocido,1.0,1.0
9,"November 12, 2022",grocery store (aka. nanostore),yes,smartphone,yes,Aumentó 25%,No cambió,No lo hago,No lo hago,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Desconocido,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,yes,Ninguna,Desconocido,1.0,1.0
10,"November 12, 2022",grocery store (aka. nanostore),yes,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,Dependiente ,Software especializado + computadora,Aplicación móvil (i.e. App) + smartphone,yes,Desconocido,Efectivo,Redes sociales,Refrigeración,yes,yes,Ninguna,Mensajería instantánea (e.g. WhatsApp),1.0,1.0
11,"November 12, 2022",internet ,no,dataphone (i.e. card payments),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Frecuencia de venta,yes,yes,Aplicación móvil,Página web del proveedor,1.0,1.0
12,"November 12, 2022",ferretería ,no,analog cash register,yes,No cambió,Aumentó 15%,En papel,Caja registradora (análoga),yes,Desconocido,"Efectivo,Tarjeta de débito y/o crédito",Redes sociales,Frecuencia de venta,yes,no,Ninguna,Mensajería instantánea (e.g. WhatsApp),2.0,4.0
13,"November 12, 2022",butcher shop,no,smartphone,yes,No se cuenta con informacion,No hay informacion acerca del cambio,En papel,En papel,no,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Ninguna,Precio,no,no,Ninguna,Llamada telefónica,1.0,1.446808510638298
14,"November 12, 2022",micro-restaurant (aka. fondita),no,smartphone,yes,No cambió,No cambió,No lo hago,En papel,yes,Desconocido,Efectivo,Aplicación móvil,Refrigeración,yes,no,Ninguna,Llamada telefónica,5.0,1.446808510638298
15,"November 9, 2022",dulceria ,no,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Frecuencia de venta,yes,yes,Desconocido,Llamada telefónica,1.0,2.0
16,"November 9, 2022",pet store,yes,"security cameras,smartphone",yes,No cambió,Disminuyó 25%,En Excel,Aplicación móvil (i.e. App) + smartphone,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Frecuencia de venta,no,yes,Software especializado,"Email,En persona",1.0,1.0
17,"November 9, 2022",micro-restaurant (aka. fondita),no,smartphone,yes,No cambió,Aumentó 25%,No lo hago,No lo hago,no,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Aplicación móvil,Refrigeración,yes,yes,Ninguna,Llamada telefónica,3.0,2.0
18,"November 9, 2022",micro-restaurant (aka. fondita),no,smartphone,yes,No se cuenta con informacion,No hay informacion acerca del cambio,En papel,En papel,no,Desconocido,"Efectivo,Transferencia interbancaria",Ninguna,Frecuencia de venta,no,no,Cuaderno,Desconocido,1.0,1.446808510638298
19,"November 9, 2022",cosmetiquera ,no,"security cameras,smartphone",yes,No se cuenta con informacion,No hay informacion acerca del cambio,En Excel,En Excel,no,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Cuaderno,Frecuencia de venta,yes,no,Ninguna,Mensajería instantánea (e.g. WhatsApp),4.0,1.446808510638298
20,"November 11, 2022",dairy products,no,analog cash register,yes,No cambió,No cambió,No lo hago,Contadora,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Ninguna,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",no,no,Cuaderno,Llamada telefónica,0.0,0.0
21,"November 9, 2022",grocery store (aka. nanostore),no,dataphone (i.e. card payments),no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
22,"November 9, 2022",grocery store (aka. nanostore),no,analog cash register,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
23,"November 9, 2022",butcher shop,no,analog cash register,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
24,"November 9, 2022",grocery store (aka. nanostore),no,analog cash register,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
25,"November 9, 2022",grocery store (aka. nanostore),no,smartphone,no,No se cuenta con informacion,No cambió,No lo hago,En papel,Desconocido,Desconocido,Efectivo,Desconocido,Refrigeración,yes,yes,Desconocido,Llamada telefónica,0.0,0.0
26,"November 9, 2022",grocery store (aka. nanostore),no,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
27,"November 9, 2022",grocery store (aka. nanostore),no,"security cameras,smartphone",no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
28,"November 9, 2022",grocery store (aka. nanostore),no,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
29,"November 9, 2022",grocery store (aka. nanostore),no,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
30,"November 9, 2022",butcher shop,no,"security cameras,smartphone",no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
31,"November 9, 2022",grocery store (aka. nanostore),no,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
32,"November 9, 2022",butcher shop,no,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
33,"November 9, 2022",grocery store (aka. nanostore),no,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
34,"November 9, 2022",cafeteria,no,analog cash register,yes,No cambió,Aumentó 50% o más,En papel,No lo hago,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Redes sociales,Tamaño,yes,no,Ninguna,En persona,0.0,1.0
35,"November 10, 2022",micro-restaurant (aka. fondita),yes,smartphone,yes,Disminuyó 15%,Aumentó 15%,No lo hago,No lo hago,no,Desconocido,Efectivo,Desconocido,Margen de utilidad,no,no,Ninguna,Desconocido,1.0,1.0
36,"November 10, 2022",micro-restaurant (aka. fondita),yes,smartphone,yes,No cambió,Disminuyó 15%,En papel,En papel,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Ninguna,Frecuencia de venta,yes,no,Cuaderno,Llamada telefónica,3.0,3.0
37,"November 10, 2022",planchaduria,yes,smartphone,yes,Disminuyó 15%,No cambió,En Excel,En papel,yes,Volantes,Efectivo,Aplicación móvil,Frecuencia de venta,no,no,Ninguna,Llamada telefónica,1.0,1.0
38,"November 10, 2022",ginecología,no,papel y celular,yes,No cambió,No cambió,No lo hago,En papel,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Transferencia interbancaria",Ninguna,Sin categoría,yes,no,Cuaderno,Desconocido,2.0,2.0
39,"November 10, 2022",salón de eventos,yes,smartphone,yes,No cambió,No cambió,En papel,En papel,no,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Aplicación móvil,Sin categoría,yes,no,Otro,Llamada telefónica,2.0,2.0
40,"November 10, 2022",micro-restaurant (aka. fondita),no,smartphone,yes,No cambió,Disminuyó 25%,En papel,En papel,yes,Desconocido,Efectivo,Aplicación móvil,Margen de utilidad,no,no,Cuaderno,Llamada telefónica,2.0,3.0
41,"November 10, 2022",grocery store (aka. nanostore),no,"security cameras,smartphone",yes,Disminuyó 25%,No cambió,En papel,En papel,yes,Desconocido,Efectivo,Aplicación móvil,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Cuaderno,Llamada telefónica,0.0,0.0
42,"November 10, 2022",micro-restaurant (aka. fondita),no,smartphone,yes,Aumentó 15%,Disminuyó 50% o más,"En papel,Mental",En papel,no,Ninguno,Efectivo,Ninguna,Sin categoría,no,yes,Mental,En persona,1.0,3.0
43,"November 10, 2022",panaderia,yes,analog cash register,yes,No cambió,Disminuyó 15%,No lo hago,En papel,yes,Ninguno,Efectivo,Ninguna,Precio,no,no,Otro,En persona,4.0,4.0
44,"November 10, 2022",grocery store (aka. nanostore),no,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Ninguna,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",no,no,Sobre demanda ,En persona,0.0,0.0
45,"November 10, 2022",grocery store (aka. nanostore),no,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,Aumentó 25%,Software especializado + computadora,Software especializado + computadora,yes,Físico ,"Efectivo,Tarjeta de débito y/o crédito",Físico ,Frecuencia de venta,yes,no,Ninguna,Página web del proveedor,2.0,0.0
46,"November 8, 2022",grocery store (aka. nanostore),no,analog cash register,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
47,"November 10, 2022",dairy products,yes,dataphone (i.e. card payments),yes,No cambió,Disminuyó 25%,En papel,En papel,yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Frecuencia de venta,yes,no,Ninguna,Llamada telefónica,2.0,2.0
48,"November 10, 2022",micro-restaurant (aka. fondita),no,"security cameras,smartphone",yes,No cambió,No cambió,En papel,En papel,no,"Aplicación móvil (e.g. Rappi, Uber Eats)","Aplicación móvil (e.g. CODI),Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Frecuencia de venta,no,yes,Cuaderno,Llamada telefónica,2.0,2.0
49,"November 10, 2022",hules,yes,pos system (i.e. computer + bar code scanner + printer),no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,"Aplicación móvil (e.g. Rappi, Uber Eats)",Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
50,"November 10, 2022",cosmetiquera ,no,pos system (i.e. computer + bar code scanner + printer),yes,No cambió,Aumentó 15%,Aplicación móvil (i.e. App) + smartphone,Caja registradora (análoga),no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito",Aplicación móvil,"Categoría (e.g. limpieza, aseo personal, comestibles, lácteos, etc.)",yes,no,Cuaderno,En persona,2.0,0.0
51,"November 3, 2022",cafeteria,no,dataphone (i.e. card payments),yes,Aumentó 25%,Aumentó 15%,En papel,En papel,no,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Margen de utilidad,yes,yes,Cuaderno,Llamada telefónica,2.0,2.0
52,"November 10, 2022",grocery store (aka. nanostore),yes,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
53,"November 10, 2022",objetos ,no,smartphone,yes,No cambió,Aumentó 15%,En Excel,En Excel,yes,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Efectivo,Tarjeta de débito y/o crédito,Transferencia interbancaria",Aplicación móvil,Tamaño,no,no,Excel,Desconocido,1.0,1.0
54,"November 10, 2022",muebles,no,smartphone,no,No se cuenta con informacion,No hay informacion acerca del cambio,No hay información,No hay información acerca de las ventas,Desconocido,Desconocido,Desconocido,Desconocido,Sin categoría,Desconocido,Desconocido,Desconocido,Desconocido,1.6272727272727272,1.446808510638298
55,"November 10, 2022",clothing,no,analog cash register,yes,No cambió,No cambió,En Excel,Caja registradora (análoga),yes,"Llamada a Teléfono celular,Llamada a Teléfono fijo,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Efectivo,Cuaderno,Frecuencia de venta,no,no,Cuaderno,En persona,2.0,2.0
